Keywords,TweetID,AuthorID,Hashtags,Tweet Created at,Tweet Text,Likes,Reply,Retweets,Polarity
#Blinken,1495540000000000000,1212490000000000000,Blinken Soros GeorgeSoros Ukraine,2022-02-20 23:12:17+00:00,"RT @PUREB007: Given #Blinken is a #Soros puppet, I'm wondering if #GeorgeSoros is SHORTING #Ukraine's currency? https://t.co/Kwv4fSrNLa",0,0,6,0.0
#RonaldReagan,1495290000000000000,531254061,RonaldReagan,2022-02-20 06:54:20+00:00,#RonaldReagan https://t.co/llt2NNCnNy,0,0,0,0.0
#Blinken,1496250000000000000,1485530000000000000,Blinken Russe Ukraine Russie,2022-02-22 22:23:07+00:00,"🇺🇸🇷🇺🇺🇦 ALERTE : pour #Blinken fin de la diplomatie ! ""la nouvelle invasion #Russe de l'#Ukraine  signifie que la poursuite de la diplomatie, rejetée par la #Russie, ""n'a pas de sens"".",0,1,0,0.0
#barackobama,1495760000000000000,822500000000000000,Opinion BarackObama,2022-02-21 13:50:23+00:00,"RT @ElAmerican_: #Opinion | #BarackObama and his puppets should be investigated. If there is justice, they should be found guilty of treaso…",0,0,14,-0.5
#barackobama,1495060000000000000,141249668,WarsaRacket AOC JoeBiden PressSec VP DNC RNC CNN BarackObama thereidout BLM HillaryClinton AliVelshi BernieSanders SpeakerPelosi profwolff,2022-02-19 15:38:46+00:00,#WarsaRacket #AOC #JoeBiden #PressSec #VP #DNC #RNC #CNN @StephMillerShow @RandiRhodes #BarackObama @TheRevAl @WhipClyburn #thereidout #BLM #HillaryClinton #AliVelshi #BernieSanders #SpeakerPelosi #profwolff @Maddow https://t.co/EVjrDXmGEY,1,1,0,0.0
#barackobama,1495760000000000000,368641163,MotivationMonday FaranoFineArt PresidentsDay AmericaTheBeautiful BarackObama,2022-02-21 13:41:05+00:00,#MotivationMonday President's Day Edition - Be the change you wish to see in the world! Remember only YOU have the power to change YOUR life. #FaranoFineArt #PresidentsDay #AmericaTheBeautiful #BarackObama https://t.co/nRi4mcle6t,1,0,1,0.0
#Blinken,1496250000000000000,432474709,UkraineCrisis Blinken,2022-02-22 22:27:41+00:00,"#UkraineCrisis 
#Blinken cancels meeting with Lavrov.

Госсекретарь США Блинкен отменил встречу с главой МИД РФ Лавровым — Meduza https://t.co/FYhvNmXCaQ via @meduzaproject",0,0,1,0.0
#RonaldReagan,1495270000000000000,1298160000000000000,Usa lgbtq gayamerica ronaldreagan,2022-02-20 05:29:02+00:00,"#Usa Don't ever forget!!
#lgbtq #gayamerica #ronaldreagan https://t.co/FpvMJgG0Jn",3,0,0,0.0
#Blinken,1495560000000000000,1451350000000000000,Blinken Soros GeorgeSoros Ukraine,2022-02-21 00:53:08+00:00,"RT @PUREB007: Given #Blinken is a #Soros puppet, I'm wondering if #GeorgeSoros is SHORTING #Ukraine's currency? https://t.co/Kwv4fSrNLa",0,0,6,0.0
#RonaldReagan,1495350000000000000,4162312348,λεφτόδεντρο λεφτόδεντρα κρατικοδίαιτοιαντικρατιστές MargaretThatcher RonaldReagan ΜεγάληΣυντηρητικήΠαράταξη,2022-02-20 10:51:05+00:00,"@fournokonti Στη Ρ̶η̶γ̶ί̶λ̶λ̶η̶ς̶ Σ̶υ̶γ̶γ̶ρ̶ο̶ύ̶ Πειραιώς 62;
Κάτω από #λεφτόδεντρο, απ'τα #λεφτόδεντρα που καλλιεργούν οι #κρατικοδίαιτοιαντικρατιστές #MargaretThatcher und #RonaldReagan ρήτορες του τοπικού @eppαραρτήματος του €υρωπαϊκού Λαϊκ[ιστικ]ού Κόμματος,την #ΜεγάληΣυντηρητικήΠαράταξη",0,0,0,0.0
